lsoa_code,traj,traj_titles
E01023896,B,"N = 8,124 (26%)"
E01023897,A,"N = 23,924 (72%)"
E01023898,A,"N = 23,924 (72%)"
E01023899,A,"N = 23,924 (72%)"
E01023900,A,"N = 23,924 (72%)"
E01023901,A,"N = 23,924 (72%)"
E01023902,B,"N = 8,124 (26%)"
E01023903,A,"N = 23,924 (72%)"
E01023904,A,"N = 23,924 (72%)"
E01023905,B,"N = 8,124 (26%)"
E01023906,A,"N = 23,924 (72%)"
E01023907,A,"N = 23,924 (72%)"
E01023908,A,"N = 23,924 (72%)"
E01023909,A,"N = 23,924 (72%)"
E01023910,A,"N = 23,924 (72%)"
E01023911,A,"N = 23,924 (72%)"
E01023912,A,"N = 23,924 (72%)"
E01023913,A,"N = 23,924 (72%)"
E01023914,A,"N = 23,924 (72%)"
E01023915,A,"N = 23,924 (72%)"
E01023916,A,"N = 23,924 (72%)"
E01023917,A,"N = 23,924 (72%)"
E01023918,C,"N = 5,664 (3%)"
E01023919,A,"N = 23,924 (72%)"
E01023920,B,"N = 8,124 (26%)"
E01023921,B,"N = 8,124 (26%)"
E01023922,A,"N = 23,924 (72%)"
E01023923,A,"N = 23,924 (72%)"
E01023924,B,"N = 8,124 (26%)"
E01023925,A,"N = 23,924 (72%)"
E01023926,A,"N = 23,924 (72%)"
E01023927,A,"N = 23,924 (72%)"
E01023929,A,"N = 23,924 (72%)"
E01023930,A,"N = 23,924 (72%)"
E01023932,A,"N = 23,924 (72%)"
E01023933,A,"N = 23,924 (72%)"
E01023934,A,"N = 23,924 (72%)"
E01023935,A,"N = 23,924 (72%)"
E01023936,A,"N = 23,924 (72%)"
E01023937,B,"N = 8,124 (26%)"
E01023938,A,"N = 23,924 (72%)"
E01023939,A,"N = 23,924 (72%)"
E01023940,B,"N = 8,124 (26%)"
E01023941,B,"N = 8,124 (26%)"
E01023942,A,"N = 23,924 (72%)"
E01023943,A,"N = 23,924 (72%)"
E01023944,B,"N = 8,124 (26%)"
E01023945,A,"N = 23,924 (72%)"
E01023946,B,"N = 8,124 (26%)"
E01023947,A,"N = 23,924 (72%)"
E01023948,A,"N = 23,924 (72%)"
E01023949,A,"N = 23,924 (72%)"
E01023950,A,"N = 23,924 (72%)"
E01023951,B,"N = 8,124 (26%)"
E01023952,A,"N = 23,924 (72%)"
E01023953,A,"N = 23,924 (72%)"
E01023954,B,"N = 8,124 (26%)"
E01023955,A,"N = 23,924 (72%)"
E01023956,A,"N = 23,924 (72%)"
E01023957,A,"N = 23,924 (72%)"
E01023958,A,"N = 23,924 (72%)"
E01023959,A,"N = 23,924 (72%)"
E01023960,A,"N = 23,924 (72%)"
E01023961,A,"N = 23,924 (72%)"
E01023962,A,"N = 23,924 (72%)"
E01023963,A,"N = 23,924 (72%)"
