lsoa_code,traj,traj_titles
E01024426,A,"N = 23,924 (72%)"
E01024427,A,"N = 23,924 (72%)"
E01024428,A,"N = 23,924 (72%)"
E01024429,B,"N = 8,124 (26%)"
E01024430,A,"N = 23,924 (72%)"
E01024431,B,"N = 8,124 (26%)"
E01024432,A,"N = 23,924 (72%)"
E01024433,A,"N = 23,924 (72%)"
E01024434,B,"N = 8,124 (26%)"
E01024435,A,"N = 23,924 (72%)"
E01024436,A,"N = 23,924 (72%)"
E01024437,A,"N = 23,924 (72%)"
E01024438,A,"N = 23,924 (72%)"
E01024439,A,"N = 23,924 (72%)"
E01024440,A,"N = 23,924 (72%)"
E01024441,A,"N = 23,924 (72%)"
E01024442,A,"N = 23,924 (72%)"
E01024443,A,"N = 23,924 (72%)"
E01024444,A,"N = 23,924 (72%)"
E01024445,A,"N = 23,924 (72%)"
E01024446,A,"N = 23,924 (72%)"
E01024447,A,"N = 23,924 (72%)"
E01024448,A,"N = 23,924 (72%)"
E01024449,A,"N = 23,924 (72%)"
E01024450,A,"N = 23,924 (72%)"
E01024451,A,"N = 23,924 (72%)"
E01024452,A,"N = 23,924 (72%)"
E01024453,A,"N = 23,924 (72%)"
E01024454,A,"N = 23,924 (72%)"
E01024455,A,"N = 23,924 (72%)"
E01024456,A,"N = 23,924 (72%)"
E01024457,A,"N = 23,924 (72%)"
E01024458,B,"N = 8,124 (26%)"
E01024459,A,"N = 23,924 (72%)"
E01024460,A,"N = 23,924 (72%)"
E01024461,A,"N = 23,924 (72%)"
E01024462,A,"N = 23,924 (72%)"
E01024463,A,"N = 23,924 (72%)"
E01024464,A,"N = 23,924 (72%)"
E01024465,A,"N = 23,924 (72%)"
E01024466,A,"N = 23,924 (72%)"
E01024467,A,"N = 23,924 (72%)"
E01024468,A,"N = 23,924 (72%)"
E01024469,A,"N = 23,924 (72%)"
E01024470,A,"N = 23,924 (72%)"
E01024471,B,"N = 8,124 (26%)"
E01024472,B,"N = 8,124 (26%)"
E01024473,A,"N = 23,924 (72%)"
E01024474,A,"N = 23,924 (72%)"
E01024475,B,"N = 8,124 (26%)"
E01024476,B,"N = 8,124 (26%)"
E01024477,B,"N = 8,124 (26%)"
E01024478,A,"N = 23,924 (72%)"
E01024479,A,"N = 23,924 (72%)"
E01024480,B,"N = 8,124 (26%)"
E01024481,A,"N = 23,924 (72%)"
E01024482,A,"N = 23,924 (72%)"
E01024483,A,"N = 23,924 (72%)"
E01024484,A,"N = 23,924 (72%)"
E01024485,A,"N = 23,924 (72%)"
E01024486,A,"N = 23,924 (72%)"
E01024487,A,"N = 23,924 (72%)"
E01024488,A,"N = 23,924 (72%)"
E01024489,B,"N = 8,124 (26%)"
E01024490,A,"N = 23,924 (72%)"
E01024491,B,"N = 8,124 (26%)"
E01024492,A,"N = 23,924 (72%)"
E01024493,A,"N = 23,924 (72%)"
E01024494,B,"N = 8,124 (26%)"
E01024495,B,"N = 8,124 (26%)"
E01024496,B,"N = 8,124 (26%)"
E01024497,B,"N = 8,124 (26%)"
E01024498,B,"N = 8,124 (26%)"
E01024499,B,"N = 8,124 (26%)"
E01024500,A,"N = 23,924 (72%)"
E01024501,B,"N = 8,124 (26%)"
E01024502,B,"N = 8,124 (26%)"
E01024503,A,"N = 23,924 (72%)"
E01024504,C,"N = 5,664 (3%)"
E01024505,B,"N = 8,124 (26%)"
E01024507,B,"N = 8,124 (26%)"
E01024508,C,"N = 5,664 (3%)"
E01024509,B,"N = 8,124 (26%)"
E01024510,B,"N = 8,124 (26%)"
E01024511,A,"N = 23,924 (72%)"
E01024512,A,"N = 23,924 (72%)"
E01024513,A,"N = 23,924 (72%)"
E01024514,A,"N = 23,924 (72%)"
E01024515,A,"N = 23,924 (72%)"
E01024516,B,"N = 8,124 (26%)"
